rank,tnt_name,tnt_sunflower,mjq_name,mjq_sunflower,dcx_name,dcx_sunflower,syx_name,syx_sunflower,lyw_name,lyw_sunflower,zzy_name,zzy_sunflower,yhx_name,yhx_sunflower,hjl_name,hjl_sunflower
1,萱哥不是萱哥哦,10000,是小马激光阿,8550,抓鑫鑫煮粥,150000,单纯冲着玩一下,6000,48小时换镶边,19230,单纯冲着玩一下,14160,小白菜心里甜,11440,冬日暖阳的一抹光,4000
2,小米乐,7350,大表姐,6660,里拉的唯一小福鑫,100000,Junnnnnnie,5040,给宝贝的压岁钱,7150,Junnnnnnie,10000,多吃晚饭,10170,想吃火锅烤肉牛蛙竹荪肠粉小龙虾,2000
3,求求您了！,7250,小马是乖宝宝,5290,宝宝最可爱！,88880,壮士请留步,5000,·抱走吻文·,6100,真真不戳,5020,那我装得像啊,9000,小贺哥哥的老婆,1810
4,·抱走吻文·,7000,柴柴柴柴十六斤,5180,肉丸也爱喜喜,55000,轩轩成长快乐,5000,天黑天亮都会站在你身旁,5170,PAYRAY-0305,5010,二薇薇二,6000,兔兔好吃吗,1720
5,阿捷,6990,一枚追星的小丸子,4020,喜帝爱肉丸,52240,花吃了吗,4040,newokay,3020,壮士请留步,5000,请公平对待严浩翔,5000,今年高考球球给我个机会吧,1720
6,A.求求爸爸们给我个机会,5600,-隔壁老李_,3100,丁程鑫微博不可以一周只更新一次,52240,鱼饼绘宋,4000,njy.,3000,小张不圆！,3030,sjxw,5000,小贺哥哥说高考生要好好学习 少,1700
7,好嘉鑫亚耀源翔贺,4920,小脑袋的草莓大福,1070,萌萌的飞行日记 01,52000,Grace wwwwwww,2000,平平无奇c111,2580,江江超有爱,1530,萱哥不是萱哥哦,4490,麻袋袋子,1620
8,白白223456,3000,琳.琳.琳.琳.琳.琳.,1040,招生办来抢人了,43060,青梅甜酒,1400,小文叮咚,2510,真的宝宝,1210,大胡子船长嘿嘿嘿,4490,姜糖,1610
9,放荡不羁爱自由,2400,嘉褀如许,1000,楼上心心想去哪咱就去哪！,32130,吃魚么,1070,萱哥不是萱哥哦,2510,数一数1234567,1060,kk_orb,4490,草莓星茶,1490
10,Dengdengdeng,2250,亲签有我一份,620,程程今天发自拍了,22400,亚轩小笨蛋❤️ ,1020,萱哥不是萱哥,2500,哈嘻嘻嘻哈,1050,不要不要下雨,4490,是珂玺姐姐呀,1480
11,大胡子船长嘿嘿嘿,2060,TNT全世界最棒的小朋友们,610,天黑天亮都会站在你身旁,22400,吐两个泡泡的鱼,1000,蜜桃冰川,2400,xxy只想zzy ,1020,萱哥不是萱哥,4480,糖仔源源源圈圈,1130
12,随便是个爆米花,2050,yoyoyoyo.,610,可爱光波biu～,19190,钮祜禄氏·站不稳就跪下,830,小小小小小小小,2400,7西洲7.,650,吃一碗,2500,霖霖哥哥贺新年,1040
13,十四xiao,2050,你是美女别和我抢了求求了,610,被可爱光波击中了啦,15240,宋昱臻,830,酷酷酷酷盖的姐姐,2400,爆拳刘无敌0416,600,不畏不悔，愿顶峰相见,1990,小王今天暴富了吗,1020
14,萱哥不是萱哥,2040,bobobao,600,阿拉鑫鑫生日快乐,14420,TNT全世界最棒的小朋友们,800,只是个猪猪包,2200,棕鼠椿颂,580,寒酥入骨,1610,www.海盐私语,1000
15,T123N4567T,2000,77丸子,580,心心的狗皮特,13800,世界上哪有奥特曼嘛,720,晚月星念,2190,哦哦哦. ,570,停止打压浩翔,1600,给个机会吧,990
16,小小123456,1930,叁肆十二,570,小福鑫小年快乐！,12900,好好读书见亚轩,710,刘耀文我的爹,1600,希望张张天天开心！,570,汤圆菇,1600,萱哥不是萱哥,990
17,宋亚轩的馒头abab,1560,你笑一下,540,爱你的人始终都爱你嘞,12590,宋锐智的妈咪,680,爱你的人始终都爱你嘞,1500,张真源老婆！！,570,严浩翔祝我教资必过和暴富,1400,霖听忆彩.,990
18,站那，别动!,1560,我爱TNT耶,520,灯宝必上北影,12240,小hu睡不醒～,650,甜老师不甜,1410,萱哥不是萱哥是萱哥,570,cxy86,1260,球球各位了,970
19,TNT全世界最棒的小朋友们,1410,TNT家的顾艾,520,你也要来一口吗,12240,瑜瑜小盆友,610,一个快乐的美女,1330,想啊啊啊啊,570,山城雪丽糍-,1200,小贺哥哥是世界上最棒最帅的！,950
20,姐姐让让我,1250,是小殷吖,520,小福鑫 好运来,11600,小孙吃果冻,600,是十八楼的小朋友,1320,求求大家这是我最后的愿望555,570,tnte,1030,小贺老师的zzh,900
21,龙君煜,1220,一枚枕头,520,老公多吃点,11550,GOGOSONG,520,不畏不悔，愿顶峰相见,1320,让让孩子吧今年高考,550,初冬集序,1000,贺峻霖是仙子,880
22,0802号爆米,1150,SixFeet,510,没梗给大家拜个年,11200,宋村村,510,·魚丸好吃么·,1240,白白白璟悦,550,TNT全世界最棒的小朋友们,900,小高好困,770
23,大白家的小星星,1110,迪迦奥特轩.,510,字节过节不发钱（烦,11100,谷惑崽,500,布丁泡文文,1230,宇茜,550,蒲月浣熊,880,TNT全世界最棒的小朋友们,700
24,TNT全世界最棒的小朋友,1110,芒果蛋糕_,510,心动完成时（正版,11090,kkkkatie,500,吃饱了吗？,1230,小张多吃饭,520,拾江南,780,深海救赎_,670
25,一只会发光的四叶草,1020,Taropie,480,少来主页欺负小福鑫,11020,宋馒头的开水壶,490,萱哥不是萱哥是萱哥,1230,小张的松果,510,严小熊的bebe,710,爸爸们可以让让我吗,640
26,李飞你伤害人真有一套,1010,狂野女孩-,450,摩托CeCe开得飞快,11000,34xxuan,450,楼上富婆包养我,1230,一只高冷的豬,500,限定小瑶,610,凌^檬,610
27,季.,1010,三大都可以妈不挑,370,2030零碳目标冲鸭,10990,从八斤,440,耀月之文,1200,温柔证据_,480,苏退,600,苏退,600
28,灯她男人,1000,OrdnAry° 平淡,350,老婆公主的保安队长,10400,六斤是赫敏的,410,白色恋人超好吃,1200,TNT全世界最棒的小朋友们,440,美好形容,590,一枝春,600
29,迪迦永远的神保佑我,820,小马新年快乐,340,哪都行，妈不挑,10400,雾·都·丞·川,400,记不住名字,1200,·源味小鱼·,410,不吃香菜小熊,560,我腿麻了,580
30,小林-逢考必过,800,M-可可卿,340,woodyy,10180,宋人头小姐和宋人头,400,·速效救心丸·,1200,A.求求爸爸们给我个机会,400,小琪琪琪琪琪7,550,哦吼哈哈哈嘿嘿,520
31,慢点慢点快没钱了,730,露露的西法,320,萌萌的飞行日记02,10170,-春奈晚风-,380,是吻文文文呀,1080,佳男,300,是小熊夫人吖,530,DIB,510
32,•章鱼烧本铺•,660,银河系的小辰,320,妈咪可以多给心心点点赞嘛,10160,谁有答案,370,刘耀文戒赌吧,1070,鑫源味糖果.,260,当务之急是睡觉.,520,给李飞打钱的第二年,510
33,OrdnAry° 平淡,580,TNT The love,300,请心心猫咪喝咖啡,9150,我要考清华北大,350,骑猪的郭子,1000,李飞抽我吧,240,·寒酥入骨·,520,鹤立giao,510
34,wssyxdxka,570,1212921次陷阱,300,Rhus每天来溜一圈,7330,轩轩你过来呀！,350,本来还想买鞋的,920,顾年瑾兮,230,抹茶星冰乐多加小熊,520,小白兎奶糖,500
35,想不到有文化的名字,560,·小祺曲奇饼·,280,过节只收丁层心,7000,wssyxdxka,350,给个机会刘耀文老婆们,850,小熊饼干保安,230,白桃奶酪杯,510,个破,500
36,凯家爆米花,550,桃沢樱,280,EEEstelle,6700,宋亚轩就是最棒哒,340,馨雨1234,840,想再睡五分钟的马睿英,230,银河拌饭-,500,小贺哥哥全世界最棒,490
37,停手吧！ballball,550,大胡子船长嘿嘿嘿,260,快来给公主交保护费,6500,闪耀星第一小甜饼,340,给个机会吧刘耀文老婆们,820,欧粉,230,Yachnemi,500,我爱TNT耶,460
38,洛洛啊啊啊,540,HJ.,240,公主的狗,6220,宋你一条鱼,320,暗恋小熊,800,Wan-SUliye_,220,浪旅,500,你这个可恶的美女,460
39,甜度溢满星际,530,祺祺椰奶,230,25岁成熟男子,6200,张情ing,310,吐一个泡泡的鱼,780,真源不圆真源超级棒,220,Hielox,470,花钱养小宝贝,430
40,又凉了没事白嫖的小葵花,530,tin饱,230,心心妈找到工作咧,6170,小甜螺,300,葱香叉烧包,770,美女们给个机会求求了,210,刘耀文喊我考高中,410,上楼了,420
41,TNT大红大紫！,520,芝士冰汤圆w,220,程程宝贝必上三大,6130,南玖,300,喜欢麻薯奶茶,750,源轩的心动女孩,200,暗恋小熊,410,给个机会求求了,420
42,李飞的绯闻女友-,520,给个机会求求了,210,程程宝贝高考顺利,6110,温温吖,290,TNT全世界最棒的小朋友们,730,起司猪咪,200,Evie,400,想再睡五分钟的马睿英,420
43,宋超可爱亚轩.,510,,200,老婆美少女要少油少盐少糖知道吗,6000,香香的兔兔呀！,290,是小马激光阿,670,真源的小fafa,190,严浩翔全世界最棒,300,想做兔兔的猫,400
44,梁三柒,510,啾啾zz,200,美少女吃得这么寡淡还是做老公吧,6000,爆米花-*,280,Tiann.,660,苏小柠,190,HJK SYX HMH,300,贺峻霖是大帅哥吗？,400
45,Ka-ki,500,小马+7°,200,百度有年终奖但疫情费呢老板,5780,麦辣鸡翅,260,小猪佩奇.,660,北念h,190,与烬书,270,橙味熊仔饼,310
46,刘耀文贺峻霖苏新皓的青缇,500,·芒果团子·,200,竹小喵,5660,轩轩今天开心吗？,240,小丸子是兔兔啦！,610,放过那条大青鱼,180,是吧是吧是吧是,260,湳哲,310
47,七日,500,爱小马的小焦,180,顶层心必上三大,5630,love song,240,刘耀文是四番,610,小炸会红爆,160,D_H,200,MDSLZYHBP,300
48,文文雯,450,彤-ZYY-彤,160,看完海就去看山,5630,宋一个亚轩给我,240,2021刘耀文永远开心,610,顾冉柯.,150,YULXu,200,西楼不是西楼,300
49,-古月小发发-,420,本来就很挑剔,160,蓝黄大海的传说,5620,Strawberry0304,240,.~.,600,·魚丸好吃么·,150,宋sssss,200,哎妈妈觉得又可以了,290
50,苹菓小丸子,400,我不是美女，我想要亲签,160,想念鑫鑫儿子的一天,5560,snxhxy,220,无名字,600,TNT全世界最棒的小朋友,150,楼上下水道炸了,170,LanGui,280
51,憨煲生菜,370,提·提拉米苏,150,舅舅你好久肥来嘛,5540,轩轩要开心,210,数学好难啊,600,人设真香,140,猪猪包的脸颊肉,160,TNT一直都是最棒的噢,280
52,贺艺ymy,330,新春快乐万事胜意,150,丁程鑫要永远开心吖,5520,是小涵呀,210,刘文是我爹,600,刺蝟子,130,自然甜不腻,160,胡萝卜饲养员-,240
53,十八楼的孩子最棒啦,310,野原屁屁兔,150,好多人啊！,5440,奶味鸭轩儿,210,丸之药比,590,我超爱吃烤鸡爪的,130,巧克力和言小熊,160,瑜瑜小盆友,240
54,沐子会飞,300,TNT全世界最棒的小朋友,150,年年小草莓,5430,限定小王.,210,星冰月亮湾,570,lzyuyu,130,球球各位了,150,颍殇,230
55,给个机会求求了,290,plpww,150,永远在失眠,5400,SLYRXX,210,狼崽哩脑阔超聪明,560,吃爆米花的真知棒,120,·魚丸好吃么·,150,小小风爆,210
56,Niki幸夏946,280,能整能泥能当妈,140,小福鑫妈妈考上宾大了,5400,,200,·耀凯鑫·,550,是美好的一天吧,120,怪味兔,150,顾冉柯.,200
57,想成为富婆,250,妍妍的土豆喵,140,兔子,5300,追星真累啊,200,嘻嘻嘻%,540,安娜娜娜,120,TNT全世界最棒的小朋友,150,小熊与蟹黄大侠,200
58,小宋也是小祺,240,不困不困,140,move！我命运般的move！,5300,heiyulau,200,特困困困生,540,美女zjy,110,高考给个机会,140,爱上黑加仑,170
59,七瓣橘子,220,草莓味脆脆鲨,140,训练集！我命运般的训练集！,5260,小马要快乐,200,给宝贝拜个早年,520,七瓣橘子,110,xiao严,140,超爱小炸吖,160
60,小炸小炸好好读书,210,十四xiao,140,心心宝贝生日快乐,5230,一口吃一盆儿,200,时代峰峻公平对待刘耀文,520,-七只奶团子妙妙屋-,100,可惜这只鸡腿要被我吃了,140,轩轩爱吃鱼,160
61,Yube_一起仰望星星,200,每天想马嘉祺1001遍,140,COAGULATION鑫数据,5200,宋馒头历险记、,200,新年快乐！,520,想喝幽兰拿铁,100,马鑫茹,140,TNT全世界最棒的小朋友,160
62,想去偷兔子,200,祺祺是只喵,130,有时间一起滑雪,5200,鱿鱼尤鱼,200,藏不住猫耳朵,520,zzy.c,100,想去看海,130,李飞你伤害人真有一套,150
63,银河系的小辰,200,ovohiii,130,丁程鑫老公我爱你ʕ •ᴥ•ʔ,5200,小陆今天努力了吗,200,AikL.,510,真源真圆¥¥,100,钒溪会好好学音乐,130,发光的少年们,150
64,小猪想rua,170,·原野井村-,130,大小姐驾到,5200,你头发乱了哦。,190,LIL牌炸丸子,500,陪小炸一起走✨ ,100,·池穗岁岁平安·,130,希望这个名字能引起你的注意,150
65,L炸,170,树懒球,110,十九岁 成为更多人的星星,5200,·小贝鱼丸^,190,奶困小文,500,·耀凯鑫·,100,晚安熊睡屋,120,超级二霖,150
66,！！！:,170,连静怡,110,变没变小福鑫说的算,5200,strawberrygirl,180,别踩刘耀文猪儿,500,花园在逃唔西迪西,100,小闫~,120,镜心,150
67,小怡要努力,150,鸡汤喝多了会胖,100,校花的贴身保安,5200,流心欧包,180,小晗不憨.,500,从八斤,100,-心动男嘉宾TNT-,120,洛雪很向往重庆,150
68,瑜瑜小盆友,120,小晗不憨.,100,育才没倒闭,5200,SYAXUAN.,170,ci饭饭小朋友,500,李有病阿,100,略略豚骨拉面嘎嘎噶,120,沫兮呀,130
69,五十一,120,祺微,100,比邻星迎春大扫除,5160,负年网乞丐,170,小李不熬夜.,480,大区长小嬛嬛,100,RA-SYX,110,海盐小眠,130
