rank,tnt_name,tnt_sunflower,mjq_name,mjq_sunflower,dcx_name,dcx_sunflower,syx_name,syx_sunflower,lyw_name,lyw_sunflower,zzy_name,zzy_sunflower,yhx_name,yhx_sunflower,hjl_name,hjl_sunflower
1,萱哥不是萱哥哦,14400,赛利好饿,15000,抓鑫鑫煮粥,150000,我的大名叫盖亚,15000,小文叮咚,32740,在魔都吃土养小孩.,16020,那我装得像啊,20000,小贺哥哥的老公,10000
2,做人不要太李飞,12100,是小马激光阿,11550,里拉的唯一小福鑫,100000,轩轩成长快乐,10010,yaaaa_,30370,单纯冲着玩一下,14160,小白菜心里甜,11440,小贺哥哥的老婆,6220
3,小米乐,11950,小书配祺,8710,宝宝最可爱！,88880,单纯冲着玩一下,6000,读秒也争气,19230,Junnnnnnie,10000,多吃晚饭,10170,小贺哥哥保佑我大学合格,6030
4,阿捷,11950,大表姐,6660,肉丸也爱喜喜,55000,世界上哪有奥特曼嘛,5520,给宝贝的压岁钱,7150,天王老子来了我都是美女,6030,二薇薇二,6000,兔兔好吃吗,4720
5,求求您了！,11410,小马是乖宝宝,5290,喜帝爱肉丸,52240,谷惑崽,5500,·抱走吻文·,6100,真真不戳,5020,请公平对待严浩翔,5000,有富婆把我弄下去吗,4200
6,大胡子船长嘿嘿嘿,11110,拜托给个机会,5180,丁程鑫小年快乐呀(//̀Д/́/),52240,Junnnnnnie,5040,天黑天亮都会站在你身旁,5170,真的宝宝,5020,sjxw,5000,冬日暖阳的一抹光,4000
7,·抱走吻文·,7000,一枚追星的小丸子,4020,萌萌的飞行日记 01,52000,花吃了吗,5040,newokay,3020,我的大名叫盖亚,5020,大胡子船长嘿嘿嘿,4910,啊吧啊吧,3020
8,A.求求爸爸们给我个机会,5600,-隔壁老李_,3100,招生办来抢人了,43060,壮士请留步,5000,萱哥不是萱哥哦,3020,PAYRAY-0305,5010,萱哥不是萱哥,4910,想吃章鱼烧的小吴,3020
9,姐姐们慢点吧,5030,MJQ-WSQ,1550,楼上心心想去哪咱就去哪！,32130,鱼饼绘宋,4000,萱哥不是萱哥,3020,壮士请留步,5000,不要不要下雨,4910,基金绿了不冲了,3000
10,好嘉鑫亚耀源翔贺,4920,是小殷吖,1520,今天宝宝发微博了吗,22400,轩轩要快乐,2670,可爱星球外星人,3020,小张不圆！,3030,萱哥不是萱哥哦,4900,卤鱼丸丸丸,2110
11,顾简易,3100,zhanghongyan,1110,天黑天亮都会站在你身旁,22400,好喜歡番茄,2170,外星小肉肉,3020,江江超有爱,1530,kk_orb,4560,贺峻霖是仙子,1880
12,萱哥不是萱哥,3060,yoyoyoyo.,1110,可爱光波biu～,19190,Grace wwwwwww,2000,njy.,3000,棕鼠椿颂,1310,吃一碗,2500,小兔满处跑,1830
13,迪迦永远的神保佑我,3050,望仔曲祺,1110,被可爱光波击中了啦,15240,青梅甜酒,1400,蜜桃冰川,2700,张真源老婆！！,1260,外星小肉肉,2380,给我留点钱,1730
14,萱哥不是萱哥是萱哥,3050,你是美女别和我抢了求求了,1100,阿拉鑫鑫生日快乐,14420,小念恋轩,1190,只是个猪猪包,2700,张真源叫声姐姐,1120,不畏不悔，愿顶峰相见,1990,草莓星茶,1720
15,我的大名叫盖亚,3050,小脑袋的草莓大福,1070,心心的狗皮特,13800,皮蛋solo粥！,1130,是吻文文文呀,2620,希望张张天天开心！,1080,严浩翔祝我教资必过和暴富,1900,萱哥不是萱哥,1720
16,就再来一碗嘛,3040,TNT家的顾艾,1060,宝贝想做什么做什么,12900,ICE_亚轩,1100,平平无奇c111,2580,求求大家这是我最后的愿望555,1080,可爱星球外星人,1900,今年高考球球给我个机会吧,1720
17,十四xiao,3010,琳.琳.琳.琳.琳.琳.,1040,爱你的人始终都爱你yiq～,12590,吃魚么,1070,小小小小小小小,2400,世界上哪有奥特曼嘛,1080,冒泡泡儿,1900,麻袋袋子,1720
